location_name,state,latitude,longitude,metric,target_year,baseline_start_year,baseline_end_year,target_value,baseline_avg_value,delta_value,status
Dallas,Texas,32.78306,-96.80667,days_above_90f,2019,2011,2020,87,89.1,-2.0999999999999943,completed
Dallas,Texas,32.78306,-96.80667,days_below_32f,2019,2011,2020,21,19.0,2.0,completed
Dallas,Texas,32.78306,-96.80667,days_above_90f,2020,2011,2020,79,89.1,-10.099999999999994,completed
Dallas,Texas,32.78306,-96.80667,days_below_32f,2020,2011,2020,7,19.0,-12.0,completed
Dallas,Texas,32.78306,-96.80667,days_above_90f,2021,2011,2020,69,89.1,-20.099999999999994,completed
Dallas,Texas,32.78306,-96.80667,days_below_32f,2021,2011,2020,15,19.0,-4.0,completed
Dallas,Texas,32.78306,-96.80667,days_above_90f,2022,2011,2020,114,89.1,24.900000000000006,completed
Dallas,Texas,32.78306,-96.80667,days_below_32f,2022,2011,2020,36,19.0,17.0,completed
Dallas,Texas,32.78306,-96.80667,days_above_90f,2023,2011,2020,106,89.1,16.900000000000006,completed
Dallas,Texas,32.78306,-96.80667,days_below_32f,2023,2011,2020,10,19.0,-9.0,completed
Dallas,Texas,32.78306,-96.80667,days_above_90f,2024,2011,2020,99,89.1,9.900000000000006,completed
Dallas,Texas,32.78306,-96.80667,days_below_32f,2024,2011,2020,10,19.0,-9.0,completed
San Jose,California,37.33939,-121.89496,days_above_90f,2015,2011,2020,25,19.8,5.199999999999999,completed
San Jose,California,37.33939,-121.89496,days_below_32f,2015,2011,2020,0,0.8,-0.8,completed
San Jose,California,37.33939,-121.89496,days_above_90f,2016,2011,2020,22,19.8,2.1999999999999993,completed
San Jose,California,37.33939,-121.89496,days_below_32f,2016,2011,2020,0,0.8,-0.8,completed
San Jose,California,37.33939,-121.89496,days_above_90f,2017,2011,2020,23,19.8,3.1999999999999993,completed
San Jose,California,37.33939,-121.89496,days_below_32f,2017,2011,2020,0,0.8,-0.8,completed
San Jose,California,37.33939,-121.89496,days_above_90f,2018,2011,2020,3,19.8,-16.8,completed
